customer_id,customer_name,city,region,join_date
1,Customer_1,Delhi,Europe,2024-02-06
2,Customer_2,Dubai,Middle East,2023-07-14
3,Customer_3,London,Middle East,2022-08-10
4,Customer_4,Delhi,Middle East,2023-05-19
5,Customer_5,Dubai,North America,2023-10-17
6,Customer_6,Dubai,North America,2024-02-13
7,Customer_7,Delhi,India,2022-07-13
8,Customer_8,Delhi,India,2023-05-16
9,Customer_9,London,India,2023-02-18
10,Customer_10,London,Europe,2023-12-25
11,Customer_11,Delhi,India,2022-06-06
12,Customer_12,Delhi,Asia,2022-09-02
13,Customer_13,Delhi,Middle East,2023-05-17
14,Customer_14,London,Europe,2023-09-24
15,Customer_15,London,North America,2023-06-01
16,Customer_16,Delhi,North America,2023-01-14
17,Customer_17,Mumbai,Asia,2022-09-29
18,Customer_18,Dubai,North America,2023-03-24
19,Customer_19,Delhi,Middle East,2022-05-06
20,Customer_20,London,Middle East,2022-07-04
21,Customer_21,Delhi,North America,2023-04-06
22,Customer_22,Dubai,India,2022-05-23
23,Customer_23,Dubai,Europe,2023-06-18
24,Customer_24,London,North America,2024-02-21
25,Customer_25,Delhi,Asia,2023-09-07
26,Customer_26,Mumbai,North America,2023-09-15
27,Customer_27,London,Europe,2023-07-22
28,Customer_28,New York,India,2022-05-08
29,Customer_29,London,Middle East,2022-12-02
30,Customer_30,New York,Middle East,2023-09-10
31,Customer_31,Dubai,India,2022-02-27
32,Customer_32,Mumbai,Asia,2023-08-10
33,Customer_33,London,India,2024-02-20
34,Customer_34,Delhi,Middle East,2023-10-28
35,Customer_35,New York,India,2024-02-03
36,Customer_36,Mumbai,Middle East,2024-01-08
37,Customer_37,New York,Middle East,2022-05-03
38,Customer_38,London,India,2023-04-10
39,Customer_39,Dubai,North America,2022-06-02
40,Customer_40,Dubai,Middle East,2024-02-03
41,Customer_41,London,Asia,2023-12-14
42,Customer_42,New York,Asia,2023-02-21
43,Customer_43,New York,North America,2022-08-19
44,Customer_44,London,India,2023-09-09
45,Customer_45,New York,North America,2024-01-19
46,Customer_46,Mumbai,India,2022-06-28
47,Customer_47,Mumbai,India,2022-12-17
48,Customer_48,Dubai,Asia,2022-03-18
49,Customer_49,London,Asia,2023-01-25
50,Customer_50,Dubai,India,2022-03-01
51,Customer_51,New York,North America,2022-09-16
52,Customer_52,London,Middle East,2023-05-03
53,Customer_53,Mumbai,India,2023-07-13
54,Customer_54,New York,India,2023-11-19
55,Customer_55,London,Europe,2023-02-06
56,Customer_56,Delhi,Asia,2022-01-08
57,Customer_57,New York,Middle East,2023-02-26
58,Customer_58,London,Europe,2023-04-13
59,Customer_59,Delhi,India,2022-12-06
60,Customer_60,New York,Middle East,2022-05-16
61,Customer_61,Delhi,North America,2022-12-09
62,Customer_62,Mumbai,Europe,2023-08-15
63,Customer_63,New York,Middle East,2023-05-11
64,Customer_64,London,Middle East,2022-07-21
65,Customer_65,New York,North America,2022-03-09
66,Customer_66,New York,Middle East,2024-02-05
67,Customer_67,Mumbai,India,2024-01-20
68,Customer_68,London,Europe,2023-03-01
69,Customer_69,Dubai,North America,2022-02-27
70,Customer_70,London,Asia,2022-11-03
71,Customer_71,New York,Europe,2022-05-12
72,Customer_72,Dubai,North America,2023-10-26
73,Customer_73,Dubai,Middle East,2023-12-27
74,Customer_74,Mumbai,Middle East,2023-06-04
75,Customer_75,Delhi,India,2022-10-05
76,Customer_76,Delhi,Middle East,2022-06-04
77,Customer_77,New York,North America,2022-07-26
78,Customer_78,New York,India,2023-08-26
79,Customer_79,Delhi,India,2022-08-04
80,Customer_80,Dubai,Middle East,2022-05-01
81,Customer_81,Mumbai,Middle East,2023-05-23
82,Customer_82,Dubai,India,2023-06-17
83,Customer_83,London,India,2024-01-26
84,Customer_84,Dubai,Europe,2023-06-01
85,Customer_85,Dubai,India,2023-07-01
86,Customer_86,London,Europe,2022-09-30
87,Customer_87,New York,North America,2022-09-27
88,Customer_88,London,Europe,2022-12-15
89,Customer_89,New York,Asia,2023-04-04
90,Customer_90,Dubai,Middle East,2022-03-07
91,Customer_91,New York,North America,2022-04-12
92,Customer_92,London,Europe,2022-05-06
93,Customer_93,Mumbai,Europe,2022-05-03
94,Customer_94,Mumbai,India,2022-06-18
95,Customer_95,Mumbai,North America,2023-03-03
96,Customer_96,Delhi,Middle East,2024-01-11
97,Customer_97,Mumbai,North America,2022-02-25
98,Customer_98,Delhi,North America,2022-07-03
99,Customer_99,Mumbai,North America,2022-06-08
100,Customer_100,London,North America,2023-03-16
101,Customer_101,Delhi,Middle East,2022-12-21
102,Customer_102,Dubai,India,2022-10-13
103,Customer_103,Mumbai,India,2023-05-08
104,Customer_104,Delhi,India,2022-02-05
105,Customer_105,Mumbai,India,2022-03-08
106,Customer_106,Delhi,Europe,2023-03-05
107,Customer_107,New York,Asia,2023-12-18
108,Customer_108,New York,India,2023-09-27
109,Customer_109,Mumbai,Europe,2024-02-24
110,Customer_110,Mumbai,Asia,2023-08-31
111,Customer_111,Delhi,Europe,2022-04-22
112,Customer_112,London,India,2023-02-22
113,Customer_113,Delhi,Europe,2023-01-26
114,Customer_114,Mumbai,Asia,2023-11-07
115,Customer_115,New York,North America,2023-01-01
116,Customer_116,Delhi,North America,2023-12-22
117,Customer_117,Delhi,North America,2024-03-02
118,Customer_118,New York,Middle East,2023-06-27
119,Customer_119,New York,Asia,2023-09-14
120,Customer_120,Dubai,North America,2022-05-12
121,Customer_121,London,Europe,2024-01-21
122,Customer_122,London,North America,2023-11-20
123,Customer_123,Dubai,Asia,2022-10-15
124,Customer_124,New York,Middle East,2023-01-20
125,Customer_125,London,Asia,2022-07-29
126,Customer_126,London,Middle East,2022-06-21
127,Customer_127,New York,Asia,2024-01-03
128,Customer_128,Mumbai,Middle East,2023-07-24
129,Customer_129,New York,North America,2022-03-29
130,Customer_130,London,Asia,2022-02-16
131,Customer_131,Mumbai,Asia,2022-03-30
132,Customer_132,New York,North America,2022-08-20
133,Customer_133,Mumbai,Middle East,2022-05-01
134,Customer_134,Dubai,Europe,2023-12-24
135,Customer_135,Mumbai,India,2023-09-13
136,Customer_136,Dubai,Middle East,2023-04-17
137,Customer_137,Mumbai,North America,2024-02-05
138,Customer_138,Mumbai,Asia,2024-01-10
139,Customer_139,London,India,2023-11-15
140,Customer_140,Mumbai,Middle East,2022-08-12
141,Customer_141,New York,Europe,2023-04-21
142,Customer_142,Delhi,India,2023-04-15
143,Customer_143,Mumbai,India,2022-02-02
144,Customer_144,New York,North America,2023-10-10
145,Customer_145,Dubai,Europe,2024-03-09
146,Customer_146,London,North America,2023-08-23
147,Customer_147,Dubai,North America,2022-03-02
148,Customer_148,London,North America,2023-05-22
149,Customer_149,New York,North America,2022-02-13
150,Customer_150,New York,Middle East,2022-09-08
151,Customer_151,Dubai,Europe,2023-07-21
152,Customer_152,Dubai,India,2023-08-21
153,Customer_153,Delhi,India,2023-05-20
154,Customer_154,New York,North America,2023-05-03
155,Customer_155,London,North America,2022-06-19
156,Customer_156,London,Middle East,2023-11-24
157,Customer_157,Delhi,Middle East,2023-02-04
158,Customer_158,New York,India,2023-08-11
159,Customer_159,Mumbai,Asia,2022-06-05
160,Customer_160,Mumbai,North America,2023-10-11
161,Customer_161,Delhi,North America,2023-03-11
162,Customer_162,Delhi,North America,2022-09-15
163,Customer_163,Delhi,Europe,2022-03-21
164,Customer_164,Dubai,Asia,2022-05-04
165,Customer_165,Dubai,Europe,2022-01-06
166,Customer_166,London,Europe,2022-06-07
167,Customer_167,Mumbai,India,2022-06-11
168,Customer_168,Dubai,North America,2023-05-21
169,Customer_169,Dubai,India,2023-12-01
170,Customer_170,Mumbai,Middle East,2023-07-28
171,Customer_171,Mumbai,Europe,2024-03-08
172,Customer_172,London,North America,2023-04-09
173,Customer_173,Mumbai,North America,2023-04-04
174,Customer_174,New York,Middle East,2023-07-04
175,Customer_175,Mumbai,North America,2023-09-27
176,Customer_176,Mumbai,North America,2022-11-30
177,Customer_177,New York,Europe,2023-04-01
178,Customer_178,Mumbai,Asia,2023-05-01
179,Customer_179,London,Middle East,2022-02-08
180,Customer_180,Mumbai,India,2023-02-18
181,Customer_181,Dubai,Asia,2023-12-02
182,Customer_182,New York,Europe,2024-01-28
183,Customer_183,New York,Middle East,2023-04-19
184,Customer_184,Dubai,Europe,2022-09-30
185,Customer_185,Mumbai,North America,2023-09-16
186,Customer_186,London,North America,2023-05-21
187,Customer_187,Mumbai,Middle East,2022-03-18
188,Customer_188,London,India,2023-12-21
189,Customer_189,New York,India,2022-03-30
190,Customer_190,New York,Europe,2022-08-21
191,Customer_191,Mumbai,North America,2024-03-03
192,Customer_192,New York,India,2022-10-23
193,Customer_193,Dubai,North America,2022-05-09
194,Customer_194,London,India,2022-02-04
195,Customer_195,Mumbai,North America,2022-04-03
196,Customer_196,London,Middle East,2022-10-31
197,Customer_197,Mumbai,North America,2023-09-19
198,Customer_198,New York,Europe,2023-05-14
199,Customer_199,Delhi,Europe,2023-06-08
200,Customer_200,Delhi,North America,2022-07-03
201,Customer_201,Dubai,Middle East,2024-01-26
202,Customer_202,London,Asia,2023-09-14
203,Customer_203,New York,Asia,2023-12-26
204,Customer_204,Dubai,Middle East,2024-01-28
205,Customer_205,Dubai,India,2024-01-15
206,Customer_206,New York,North America,2023-12-25
207,Customer_207,London,Asia,2022-02-03
208,Customer_208,New York,India,2023-07-10
209,Customer_209,Mumbai,North America,2022-08-31
210,Customer_210,Mumbai,North America,2023-04-11
211,Customer_211,New York,Middle East,2023-10-25
212,Customer_212,Mumbai,Middle East,2022-11-26
213,Customer_213,London,Europe,2023-08-13
214,Customer_214,Delhi,India,2023-01-28
215,Customer_215,Mumbai,Europe,2022-10-20
216,Customer_216,New York,India,2023-12-20
217,Customer_217,New York,Asia,2022-10-04
218,Customer_218,Delhi,North America,2023-08-04
219,Customer_219,Dubai,Asia,2022-06-23
220,Customer_220,London,India,2024-01-09
221,Customer_221,Dubai,Middle East,2022-06-16
222,Customer_222,Dubai,India,2024-02-08
223,Customer_223,Dubai,Europe,2023-03-15
224,Customer_224,Delhi,Europe,2023-02-07
225,Customer_225,New York,Asia,2024-01-15
226,Customer_226,Delhi,India,2023-08-29
227,Customer_227,London,North America,2022-09-23
228,Customer_228,Dubai,Asia,2022-02-03
229,Customer_229,London,India,2022-02-01
230,Customer_230,Delhi,Asia,2023-10-16
231,Customer_231,London,North America,2022-11-16
232,Customer_232,Dubai,India,2023-07-19
233,Customer_233,Dubai,Middle East,2022-10-11
234,Customer_234,London,Middle East,2022-05-08
235,Customer_235,Dubai,Asia,2023-09-30
236,Customer_236,Dubai,North America,2022-03-14
237,Customer_237,New York,Middle East,2022-06-15
238,Customer_238,Delhi,Europe,2022-03-25
239,Customer_239,London,India,2023-03-02
240,Customer_240,Mumbai,India,2023-11-14
241,Customer_241,Delhi,Middle East,2022-06-09
242,Customer_242,Delhi,North America,2022-12-26
243,Customer_243,Dubai,Asia,2023-07-15
244,Customer_244,London,Europe,2023-03-25
245,Customer_245,New York,North America,2023-06-14
246,Customer_246,London,Europe,2023-05-30
247,Customer_247,London,India,2022-12-21
248,Customer_248,Dubai,Asia,2023-10-20
249,Customer_249,Dubai,Europe,2023-04-05
250,Customer_250,Delhi,Asia,2022-10-06
251,Customer_251,Dubai,Asia,2023-09-17
252,Customer_252,New York,India,2023-05-21
253,Customer_253,Dubai,North America,2022-01-12
254,Customer_254,New York,Middle East,2022-11-21
255,Customer_255,Dubai,Middle East,2022-05-22
256,Customer_256,Dubai,North America,2022-09-22
257,Customer_257,New York,Asia,2023-10-03
258,Customer_258,Dubai,North America,2023-02-27
259,Customer_259,Mumbai,Europe,2023-04-01
260,Customer_260,Dubai,Europe,2022-01-22
261,Customer_261,London,Middle East,2022-11-07
262,Customer_262,Mumbai,North America,2022-01-05
263,Customer_263,New York,India,2022-01-17
264,Customer_264,New York,Middle East,2023-09-05
265,Customer_265,Dubai,North America,2023-06-07
266,Customer_266,Mumbai,North America,2022-08-20
267,Customer_267,Mumbai,Middle East,2022-11-20
268,Customer_268,New York,Asia,2023-05-24
269,Customer_269,Mumbai,Asia,2023-04-07
270,Customer_270,Mumbai,North America,2023-05-29
271,Customer_271,New York,India,2022-12-28
272,Customer_272,Dubai,Asia,2023-02-07
273,Customer_273,London,North America,2023-11-04
274,Customer_274,Mumbai,Europe,2023-06-26
275,Customer_275,Mumbai,North America,2022-04-11
276,Customer_276,Mumbai,North America,2022-05-23
277,Customer_277,Mumbai,North America,2023-02-22
278,Customer_278,London,India,2022-09-19
279,Customer_279,New York,Middle East,2022-06-18
280,Customer_280,Delhi,Asia,2023-01-17
281,Customer_281,London,Europe,2023-03-08
282,Customer_282,Delhi,Europe,2023-06-30
283,Customer_283,Mumbai,India,2023-11-14
284,Customer_284,Mumbai,Asia,2022-06-17
285,Customer_285,Delhi,Middle East,2024-01-06
286,Customer_286,Dubai,Middle East,2022-05-13
287,Customer_287,Delhi,Europe,2022-10-03
288,Customer_288,New York,North America,2022-05-28
289,Customer_289,Dubai,North America,2023-12-21
290,Customer_290,Mumbai,North America,2023-09-28
291,Customer_291,London,Asia,2023-03-08
292,Customer_292,Mumbai,North America,2022-06-19
293,Customer_293,Mumbai,Europe,2022-09-22
294,Customer_294,New York,Asia,2022-12-07
295,Customer_295,London,Middle East,2022-05-27
296,Customer_296,New York,Middle East,2022-03-08
297,Customer_297,Delhi,Europe,2022-10-28
298,Customer_298,London,India,2022-12-24
299,Customer_299,London,Asia,2022-10-29
300,Customer_300,Dubai,Asia,2023-01-24
301,Customer_301,Dubai,Asia,2023-01-07
302,Customer_302,Mumbai,Middle East,2023-07-22
303,Customer_303,Dubai,Asia,2022-07-01
304,Customer_304,Dubai,Asia,2022-03-13
305,Customer_305,Delhi,India,2023-10-28
306,Customer_306,Dubai,Europe,2023-04-20
307,Customer_307,Mumbai,North America,2022-02-27
308,Customer_308,London,India,2022-01-30
309,Customer_309,Mumbai,India,2022-02-25
310,Customer_310,London,India,2024-01-02
311,Customer_311,Dubai,Asia,2022-11-27
312,Customer_312,Mumbai,North America,2022-01-29
313,Customer_313,London,India,2023-05-10
314,Customer_314,Mumbai,Middle East,2023-02-22
315,Customer_315,Mumbai,India,2023-03-12
316,Customer_316,New York,North America,2023-03-18
317,Customer_317,Delhi,India,2023-06-01
318,Customer_318,Dubai,Asia,2022-07-30
319,Customer_319,Delhi,Europe,2023-11-14
320,Customer_320,Dubai,India,2023-08-04
321,Customer_321,Mumbai,Asia,2023-04-24
322,Customer_322,Mumbai,North America,2022-05-09
323,Customer_323,Mumbai,Middle East,2023-11-23
324,Customer_324,Mumbai,India,2024-01-25
325,Customer_325,Dubai,Europe,2024-03-01
326,Customer_326,Delhi,North America,2023-10-24
327,Customer_327,London,Europe,2023-07-26
328,Customer_328,London,Europe,2022-10-27
329,Customer_329,Mumbai,Asia,2022-07-01
330,Customer_330,New York,Europe,2023-09-28
331,Customer_331,Dubai,India,2023-10-13
332,Customer_332,New York,India,2022-06-25
333,Customer_333,Dubai,Middle East,2023-07-31
334,Customer_334,New York,North America,2023-01-01
335,Customer_335,New York,India,2022-10-24
336,Customer_336,Mumbai,Asia,2023-05-09
337,Customer_337,London,Middle East,2022-08-21
338,Customer_338,Dubai,India,2023-07-01
339,Customer_339,London,Middle East,2024-03-10
340,Customer_340,Dubai,Asia,2022-02-16
341,Customer_341,London,North America,2023-04-03
342,Customer_342,Delhi,North America,2022-09-06
343,Customer_343,Mumbai,Asia,2022-10-31
344,Customer_344,Dubai,Europe,2024-01-14
345,Customer_345,Dubai,North America,2022-11-10
346,Customer_346,Delhi,Asia,2023-07-14
347,Customer_347,Delhi,Middle East,2024-02-11
348,Customer_348,London,Europe,2022-05-12
349,Customer_349,London,Europe,2022-02-09
350,Customer_350,Mumbai,Middle East,2023-05-20
351,Customer_351,London,India,2024-02-15
352,Customer_352,Delhi,India,2023-05-06
353,Customer_353,New York,Asia,2024-02-18
354,Customer_354,New York,Middle East,2024-03-05
355,Customer_355,Delhi,Middle East,2023-05-30
356,Customer_356,Delhi,Asia,2023-05-03
357,Customer_357,New York,Europe,2022-12-02
358,Customer_358,Mumbai,Asia,2024-01-25
359,Customer_359,London,Asia,2023-02-16
360,Customer_360,Delhi,India,2022-05-23
361,Customer_361,Mumbai,India,2023-06-14
362,Customer_362,Dubai,Asia,2022-09-22
363,Customer_363,Mumbai,Europe,2023-08-01
364,Customer_364,Dubai,India,2023-06-28
365,Customer_365,Delhi,India,2023-05-02
366,Customer_366,New York,Europe,2023-09-04
367,Customer_367,Mumbai,India,2024-03-04
368,Customer_368,Dubai,Europe,2023-11-09
369,Customer_369,Delhi,Middle East,2022-12-14
370,Customer_370,Mumbai,India,2022-05-09
371,Customer_371,London,North America,2022-07-19
372,Customer_372,Dubai,Europe,2023-02-03
373,Customer_373,London,Asia,2023-03-26
374,Customer_374,Mumbai,India,2023-01-12
375,Customer_375,Mumbai,India,2023-10-23
376,Customer_376,London,Asia,2023-02-12
377,Customer_377,New York,Europe,2024-02-28
378,Customer_378,Dubai,Asia,2023-04-15
379,Customer_379,Delhi,India,2022-01-31
380,Customer_380,Dubai,Asia,2022-07-19
381,Customer_381,Delhi,North America,2022-03-02
382,Customer_382,New York,India,2022-03-06
383,Customer_383,Mumbai,Europe,2022-11-02
384,Customer_384,New York,Middle East,2022-07-02
385,Customer_385,Dubai,Asia,2023-01-14
386,Customer_386,London,Middle East,2024-02-23
387,Customer_387,Dubai,Asia,2024-02-15
388,Customer_388,New York,Asia,2022-04-11
389,Customer_389,Dubai,India,2022-09-06
390,Customer_390,London,Europe,2024-02-08
391,Customer_391,New York,Asia,2022-11-10
392,Customer_392,Mumbai,North America,2022-08-04
393,Customer_393,Delhi,North America,2022-07-22
394,Customer_394,Dubai,India,2022-01-15
395,Customer_395,New York,North America,2022-01-02
396,Customer_396,Dubai,India,2022-07-01
397,Customer_397,Delhi,India,2022-05-09
398,Customer_398,London,North America,2023-05-29
399,Customer_399,Mumbai,North America,2023-12-03
400,Customer_400,New York,Asia,2022-03-06
401,Customer_401,Dubai,Asia,2023-03-11
402,Customer_402,Mumbai,North America,2024-03-07
403,Customer_403,Delhi,Middle East,2023-06-03
404,Customer_404,Mumbai,Europe,2022-09-16
405,Customer_405,Dubai,North America,2023-11-08
406,Customer_406,New York,Asia,2022-12-20
407,Customer_407,Dubai,North America,2023-09-14
408,Customer_408,Delhi,North America,2023-12-13
409,Customer_409,London,India,2023-11-11
410,Customer_410,Mumbai,North America,2023-01-25
411,Customer_411,Dubai,Middle East,2022-03-12
412,Customer_412,London,Europe,2022-09-14
413,Customer_413,London,Europe,2023-09-16
414,Customer_414,Delhi,Middle East,2023-02-11
415,Customer_415,London,Asia,2024-02-05
416,Customer_416,Delhi,Middle East,2022-09-24
417,Customer_417,London,Europe,2022-07-01
418,Customer_418,Dubai,India,2022-02-10
419,Customer_419,Dubai,Europe,2023-12-16
420,Customer_420,Dubai,India,2024-01-03
421,Customer_421,Mumbai,India,2022-09-01
422,Customer_422,Mumbai,Asia,2023-11-08
423,Customer_423,Mumbai,Europe,2023-02-04
424,Customer_424,London,Asia,2022-03-16
425,Customer_425,London,North America,2022-09-27
426,Customer_426,New York,Middle East,2024-01-01
427,Customer_427,London,Middle East,2023-07-17
428,Customer_428,Dubai,Asia,2022-03-03
429,Customer_429,London,Europe,2023-07-24
430,Customer_430,London,Europe,2022-03-24
431,Customer_431,New York,Europe,2022-06-28
432,Customer_432,Mumbai,North America,2023-11-15
433,Customer_433,London,Europe,2022-11-17
434,Customer_434,Delhi,India,2023-11-11
435,Customer_435,London,Middle East,2023-02-01
436,Customer_436,Mumbai,Asia,2022-02-28
437,Customer_437,New York,Europe,2022-10-10
438,Customer_438,Mumbai,Middle East,2023-04-06
439,Customer_439,Dubai,Asia,2023-03-29
440,Customer_440,London,Asia,2023-06-23
441,Customer_441,Delhi,Middle East,2022-12-20
442,Customer_442,Dubai,Asia,2022-08-08
443,Customer_443,London,India,2023-07-10
444,Customer_444,Mumbai,India,2022-09-12
445,Customer_445,Delhi,Europe,2023-04-27
446,Customer_446,Delhi,North America,2023-01-07
447,Customer_447,Mumbai,India,2022-08-18
448,Customer_448,New York,Asia,2022-03-07
449,Customer_449,London,Asia,2022-01-23
450,Customer_450,Delhi,Middle East,2024-03-09
451,Customer_451,New York,Asia,2023-10-19
452,Customer_452,Dubai,India,2022-01-30
453,Customer_453,Dubai,Asia,2022-09-01
454,Customer_454,New York,India,2023-03-17
455,Customer_455,New York,North America,2022-04-21
456,Customer_456,New York,North America,2022-03-25
457,Customer_457,London,Middle East,2022-07-09
458,Customer_458,Delhi,India,2023-02-24
459,Customer_459,Dubai,Middle East,2023-12-09
460,Customer_460,New York,Asia,2022-01-27
461,Customer_461,Mumbai,North America,2022-12-07
462,Customer_462,London,North America,2023-11-26
463,Customer_463,Delhi,Asia,2022-04-06
464,Customer_464,New York,Europe,2024-03-02
465,Customer_465,Mumbai,North America,2023-03-01
466,Customer_466,Dubai,Middle East,2023-01-19
467,Customer_467,Dubai,Europe,2022-09-07
468,Customer_468,New York,Europe,2022-05-18
469,Customer_469,London,Europe,2023-07-27
470,Customer_470,Mumbai,Europe,2022-09-25
471,Customer_471,London,Europe,2023-02-27
472,Customer_472,Mumbai,North America,2022-07-04
473,Customer_473,New York,Europe,2024-01-03
474,Customer_474,Dubai,Europe,2022-07-19
475,Customer_475,New York,Europe,2023-12-01
476,Customer_476,Delhi,North America,2022-12-10
477,Customer_477,Mumbai,Middle East,2024-01-23
478,Customer_478,London,Europe,2023-11-04
479,Customer_479,New York,Asia,2022-07-02
480,Customer_480,Mumbai,Asia,2023-07-09
481,Customer_481,Dubai,North America,2023-04-28
482,Customer_482,Delhi,Europe,2023-01-28
483,Customer_483,Delhi,Europe,2022-07-21
484,Customer_484,New York,Asia,2023-10-30
485,Customer_485,London,Asia,2023-10-02
486,Customer_486,New York,Europe,2022-05-10
487,Customer_487,New York,India,2023-12-28
488,Customer_488,Dubai,Asia,2022-04-05
489,Customer_489,New York,North America,2022-02-28
490,Customer_490,New York,India,2023-01-08
491,Customer_491,Dubai,India,2023-09-07
492,Customer_492,Delhi,Middle East,2022-11-10
