order_id,customer_id,order_date,region
1,3432,2023-04-24,Middle East
2,7880,2023-10-15,Middle East
3,1307,2023-05-10,North America
4,81,2023-02-13,Middle East
5,6539,2023-09-25,North America
6,6610,2023-07-25,Europe
7,6393,2023-06-27,North America
8,5047,2023-09-16,North America
9,6613,2023-01-07,Asia
10,9594,2023-03-17,North America
11,4276,2023-05-18,India
12,875,2023-05-13,North America
13,9153,2023-04-16,North America
14,7135,2023-05-22,Europe
15,9767,2023-01-14,Europe
16,4326,2023-01-08,India
17,9619,2023-05-23,North America
18,5311,2023-11-25,Middle East
19,9466,2023-02-19,India
20,5378,2023-05-25,North America
21,9474,2023-08-28,Asia
22,8530,2023-03-16,India
23,2588,2023-04-23,India
24,2273,2023-01-08,North America
25,4772,2023-11-15,Middle East
26,3793,2023-02-08,Middle East
27,3586,2023-03-17,India
28,2358,2023-05-28,Asia
29,1800,2023-02-18,Asia
30,3533,2023-04-08,India
31,2124,2023-09-07,Middle East
32,6567,2023-06-23,Asia
33,7651,2023-01-06,Middle East
34,5681,2023-12-19,Asia
35,6385,2023-03-04,North America
36,4739,2023-12-21,India
37,7544,2023-09-16,Europe
38,5416,2023-11-11,North America
39,4874,2023-08-08,Asia
40,2693,2023-08-24,Europe
41,7763,2023-10-08,Europe
42,5157,2023-08-28,Europe
43,5985,2023-02-12,Europe
44,7497,2023-10-23,Middle East
45,9678,2023-04-09,Europe
46,3373,2023-08-01,Asia
47,8296,2023-03-29,North America
48,6769,2023-08-05,India
49,3650,2023-11-04,Middle East
50,9564,2023-12-18,Middle East
51,9277,2023-04-27,North America
52,3833,2023-08-05,Middle East
53,5061,2023-02-13,India
54,2284,2023-11-17,Asia
55,4555,2023-04-14,Europe
56,7090,2023-06-29,Middle East
57,6526,2023-02-23,North America
58,586,2023-01-09,Middle East
59,1721,2023-05-05,North America
60,6866,2023-06-15,North America
61,7991,2023-11-18,North America
62,378,2023-06-15,Middle East
63,5617,2023-12-09,India
64,2436,2023-07-17,North America
65,3064,2023-06-29,India
66,8954,2023-02-21,India
67,6362,2023-04-27,North America
68,8913,2023-10-12,Europe
69,4634,2023-02-24,Middle East
70,516,2023-04-22,Middle East
71,9540,2023-07-15,Middle East
72,5701,2023-04-27,Europe
73,527,2023-11-27,Europe
74,8255,2023-03-09,India
75,4187,2023-06-18,Middle East
76,8015,2023-06-25,Europe
77,8244,2023-05-12,North America
78,1278,2023-07-29,Asia
79,5959,2023-05-21,Europe
80,6559,2023-02-12,Middle East
81,4096,2023-05-08,North America
82,6734,2023-03-31,Middle East
83,4896,2023-01-12,North America
84,7675,2023-02-12,Middle East
85,9032,2023-08-12,North America
86,292,2023-05-09,Asia
87,4968,2023-03-14,India
88,1031,2023-01-07,Asia
89,8354,2023-10-19,North America
90,8505,2023-03-16,North America
91,3668,2023-07-29,Europe
92,5562,2023-04-18,India
93,9653,2023-07-07,Middle East
94,5954,2023-09-27,North America
95,2930,2023-10-15,Europe
96,8251,2023-12-13,Europe
97,7825,2023-05-19,Middle East
98,9411,2023-04-13,India
99,7580,2023-11-03,Europe
100,372,2023-11-28,India
101,5905,2023-01-09,Europe
102,8390,2023-06-17,India
103,1363,2023-09-16,Europe
104,6479,2023-09-13,North America
105,885,2023-07-13,Middle East
106,8604,2023-08-04,Europe
107,9911,2023-09-03,Europe
108,6585,2023-08-14,Middle East
109,8628,2023-01-22,Asia
110,2579,2023-12-20,Asia
111,6805,2023-09-22,India
112,870,2023-08-22,India
113,7623,2023-08-23,Europe
114,4087,2023-11-24,Asia
115,4097,2023-02-13,Europe
116,6619,2023-04-17,Middle East
117,5700,2023-11-23,Europe
118,6041,2023-07-05,Asia
119,84,2023-08-17,Middle East
120,9448,2023-06-13,India
121,6025,2023-07-11,North America
122,8809,2023-06-29,Asia
123,865,2023-09-19,Asia
124,9712,2023-11-11,Asia
125,8696,2023-08-03,India
126,8935,2023-12-08,Europe
127,8214,2023-04-01,North America
128,7946,2023-04-24,Europe
129,4680,2023-11-27,India
130,6333,2023-07-21,Asia
131,2463,2023-11-11,North America
132,3428,2023-08-23,Asia
133,6082,2023-06-17,Middle East
134,8225,2023-01-07,North America
135,221,2023-04-22,Asia
136,5311,2023-08-17,India
137,2572,2023-06-14,India
138,3327,2023-10-28,India
139,8216,2023-12-19,Asia
140,7250,2023-02-03,Middle East
141,7561,2023-02-28,North America
142,8858,2023-01-03,India
143,7630,2023-03-07,North America
144,9543,2023-11-07,Middle East
145,8744,2023-06-17,Middle East
146,6928,2023-04-13,Middle East
147,5948,2023-03-28,Middle East
148,5811,2023-08-04,Europe
149,8186,2023-10-05,India
150,4418,2023-02-14,India
151,8706,2023-01-11,Middle East
152,9060,2023-10-04,Europe
153,4477,2023-06-19,Europe
154,4714,2023-10-12,North America
155,5822,2023-01-16,North America
156,1118,2023-08-17,Europe
157,1249,2023-05-03,India
158,4026,2023-06-20,Middle East
159,2917,2023-04-23,Middle East
160,4777,2023-06-27,North America
161,8180,2023-03-04,Asia
162,3233,2023-11-03,Middle East
163,1179,2023-01-28,Asia
164,9046,2023-04-07,Middle East
165,6829,2023-09-30,Europe
166,968,2023-05-21,India
167,9315,2023-05-02,North America
168,22,2023-01-16,Asia
169,6592,2023-02-23,Middle East
170,5356,2023-06-18,India
171,2890,2023-12-22,Middle East
172,2102,2023-07-11,Europe
173,7953,2023-06-09,Europe
174,3026,2023-05-09,North America
175,3355,2023-12-08,Middle East
176,589,2023-09-23,India
177,4857,2023-02-01,Europe
178,1406,2023-11-27,Middle East
179,9804,2023-04-04,India
180,5760,2023-06-24,Asia
181,3151,2023-06-13,Asia
182,3980,2023-09-23,North America
183,45,2023-06-09,Europe
184,3702,2023-03-21,India
185,6133,2023-12-01,Europe
186,463,2023-09-03,India
187,4169,2023-02-23,North America
188,267,2023-05-16,Asia
189,4242,2023-04-13,North America
190,5556,2023-04-13,Europe
191,6667,2023-12-31,Middle East
