shipment_id,order_id,carrier,shipping_cost,ship_date,delivery_date
1,39003,UPS,23,2023-11-25,2023-12-03
2,37945,UPS,46,2023-01-27,2023-02-01
3,5368,FedEx,47,2023-11-16,2023-11-21
4,21708,BlueDart,49,2023-05-12,2023-05-18
5,317,BlueDart,26,2023-03-07,2023-03-17
6,26554,UPS,45,2023-05-31,2023-06-02
7,14487,UPS,27,2023-02-07,2023-02-13
8,5746,FedEx,14,2023-11-20,2023-11-26
9,48731,BlueDart,27,2023-12-15,2023-12-22
10,29246,UPS,31,2023-09-29,2023-10-05
11,8737,DHL,31,2023-08-12,2023-08-21
12,18987,BlueDart,46,2023-07-16,2023-07-21
13,8775,DHL,28,2023-09-26,2023-10-01
14,37703,UPS,19,2023-10-11,2023-10-21
15,11884,FedEx,7,2023-10-25,2023-11-01
16,23360,UPS,18,2023-09-11,2023-09-19
17,19129,FedEx,30,2023-12-02,2023-12-10
18,504,BlueDart,43,2023-08-01,2023-08-06
19,13881,BlueDart,45,2023-09-20,2023-09-26
20,16330,BlueDart,42,2023-09-17,2023-09-22
21,45341,DHL,7,2023-12-20,2023-12-24
22,25552,FedEx,33,2023-04-12,2023-04-18
23,43973,DHL,17,2023-03-21,2023-03-29
24,47374,FedEx,15,2023-08-14,2023-08-22
25,9953,UPS,13,2023-03-10,2023-03-18
26,49738,UPS,38,2023-08-09,2023-08-15
27,22641,BlueDart,18,2023-04-08,2023-04-10
28,10050,FedEx,25,2023-08-11,2023-08-16
29,37236,UPS,22,2023-09-04,2023-09-07
30,39700,DHL,45,2023-07-01,2023-07-05
31,30950,BlueDart,45,2023-09-03,2023-09-09
32,1365,FedEx,47,2023-06-13,2023-06-19
33,32018,DHL,25,2023-08-20,2023-08-24
34,16832,FedEx,37,2023-08-21,2023-08-26
35,4486,DHL,31,2023-01-28,2023-02-01
36,13954,FedEx,25,2023-10-02,2023-10-11
37,46806,BlueDart,12,2023-11-17,2023-11-19
38,4948,FedEx,16,2023-04-12,2023-04-19
39,22062,DHL,28,2023-06-03,2023-06-13
40,21948,FedEx,30,2023-07-08,2023-07-14
41,29582,BlueDart,6,2023-08-14,2023-08-17
42,37170,UPS,32,2023-10-21,2023-10-26
43,32798,BlueDart,15,2023-02-15,2023-02-17
44,11578,UPS,44,2023-10-28,2023-11-07
45,1986,UPS,10,2023-01-19,2023-01-22
46,25359,FedEx,17,2023-03-22,2023-03-24
47,42991,BlueDart,47,2023-09-29,2023-10-06
48,4732,UPS,40,2023-08-24,2023-08-29
49,26505,FedEx,17,2023-09-09,2023-09-15
50,2022,BlueDart,10,2023-06-15,2023-06-17
51,27999,FedEx,50,2023-02-12,2023-02-17
52,10452,FedEx,35,2023-08-31,2023-09-07
53,37409,UPS,18,2023-06-22,2023-06-26
54,45382,BlueDart,8,2023-11-24,2023-11-27
55,46599,UPS,20,2023-06-08,2023-06-15
56,31333,BlueDart,15,2023-01-01,2023-01-05
57,34621,DHL,23,2023-09-20,2023-09-27
58,22582,BlueDart,43,2023-03-11,2023-03-16
59,37156,DHL,49,2023-01-28,2023-02-03
60,38511,DHL,25,2023-11-29,2023-12-02
61,36280,FedEx,36,2023-08-27,2023-08-30
62,4591,UPS,31,2023-10-25,2023-10-28
63,9976,BlueDart,9,2023-05-13,2023-05-18
64,26805,UPS,30,2023-04-22,2023-04-28
65,6383,UPS,48,2023-04-30,2023-05-06
66,10428,BlueDart,30,2023-01-09,2023-01-17
67,36251,UPS,29,2023-02-25,2023-03-02
68,36025,FedEx,9,2023-06-20,2023-06-25
69,36472,BlueDart,14,2023-04-03,2023-04-09
70,39500,FedEx,44,2023-04-14,2023-04-19
71,23015,BlueDart,22,2023-11-16,2023-11-25
72,14671,FedEx,12,2023-04-14,2023-04-18
73,45821,DHL,19,2023-08-26,2023-08-30
74,36120,UPS,27,2023-10-03,2023-10-07
75,49245,BlueDart,20,2023-10-04,2023-10-07
76,24573,BlueDart,8,2023-10-30,2023-11-02
77,33641,DHL,14,2023-12-16,2023-12-26
78,44959,BlueDart,8,2023-01-07,2023-01-10
79,18705,UPS,42,2023-11-30,2023-12-08
80,20601,FedEx,19,2023-01-16,2023-01-23
81,29764,DHL,10,2023-06-02,2023-06-07
82,10004,DHL,37,2023-09-23,2023-09-30
83,17537,FedEx,29,2023-06-17,2023-06-25
84,26668,UPS,27,2023-04-03,2023-04-13
85,21339,DHL,10,2023-08-03,2023-08-07
86,33684,UPS,21,2023-08-16,2023-08-23
